"","Parent.Name","lhs","Major","Minor"
"24","Positive epigenetic regulation of rRNA expression","ACTB","Gene expression (Transcription)","Epigenetic regulation of gene expression"
"25","Deubiquitination","ACTB","Metabolism of proteins","Post-translational protein modification"
"26","Cell junction organization","ACTB","Cell-Cell communication","Cell junction organization"
"27","Membrane Trafficking","ACTB","Vesicle-mediated transport","Membrane Trafficking"
"28","EPH-Ephrin signaling","ACTB","Developmental Biology","Axon guidance"
"29","Gap junction degradation","ACTB","Vesicle-mediated transport","Membrane Trafficking"
"30","Hemostasis","ACTB","Hemostasis","Hemostasis"
"31","Gap junction trafficking","ACTB","Vesicle-mediated transport","Membrane Trafficking"
"32","RAF/MAP kinase cascade","ACTB","Signal Transduction","MAPK family signaling cascades"
"33","Extracellular matrix organization","ADAMTS1","Extracellular matrix organization","Extracellular matrix organization"
"34","Diseases associated with O-glycosylation of proteins","ADAMTS1","Disease","Diseases of glycosylation"
"35","O-linked glycosylation","ADAMTS1","Metabolism of proteins","Post-translational protein modification"
"36","Class B/2 (Secretin family receptors)","ADM","Signal Transduction","Signaling by GPCR"
"37","GPCR downstream signalling","ADM","Signal Transduction","Signaling by GPCR"
"38","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","AHRR","Metabolism","Metabolism of lipids"
"39","Phase I - Functionalization of compounds","AHRR","Metabolism","Biological oxidations"
"40","Visual phototransduction","AKR1B10","Signal Transduction","Signaling by GPCR"
"41","Metabolism of fat-soluble vitamins","AKR1B10","Metabolism","Metabolism of vitamins and cofactors"
"42","Synthesis of bile acids and bile salts","AKR1C2","Metabolism","Metabolism of lipids"
"43","Signaling by Retinoic Acid","ALDH1A3","Signal Transduction","Signaling by Nuclear Receptors"
"44","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","ANKRD1","Metabolism","Metabolism of lipids"
"45","Response to elevated platelet cytosolic Ca2+","ANXA5","Hemostasis","Platelet activation, signaling and aggregation"
"46","Plasma lipoprotein clearance","APOA1","Transport of small molecules","Plasma lipoprotein assembly, remodeling, and clearance"
"47","Response to elevated platelet cytosolic Ca2+","APOA1","Hemostasis","Platelet activation, signaling and aggregation"
"48","Plasma lipoprotein assembly","APOA1","Transport of small molecules","Plasma lipoprotein assembly, remodeling, and clearance"
"49","Metabolism of fat-soluble vitamins","APOA1","Metabolism","Metabolism of vitamins and cofactors"
"50","Binding and Uptake of Ligands by Scavenger Receptors","APOA1","Vesicle-mediated transport","Binding and Uptake of Ligands by Scavenger Receptors"
"51","Metabolism of proteins","APOA1","Metabolism of proteins","Metabolism of proteins"
"52","Plasma lipoprotein remodeling","APOA1","Transport of small molecules","Plasma lipoprotein assembly, remodeling, and clearance"
"53","Visual phototransduction","APOA1","Signal Transduction","Signaling by GPCR"
"54","ABC-family proteins mediated transport","APOA1","Transport of small molecules","ABC-family proteins mediated transport"
"55","Post-translational protein modification","APOA1","Metabolism of proteins","Post-translational protein modification"
"56","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","APOA1","Metabolism","Metabolism of lipids"
"57","Cellular responses to stress","AR","Cellular responses to external stimuli","Cellular responses to stress"
"58","RHO GTPases activate PKNs","AR","Signal Transduction","Signaling by Rho GTPases"
"59","Generic Transcription Pathway","AR","Gene expression (Transcription)","RNA Polymerase II Transcription"
"60","RUNX2 regulates bone development","AR","Gene expression (Transcription)","RNA Polymerase II Transcription"
"61","Deubiquitination","AR","Metabolism of proteins","Post-translational protein modification"
"62","Signaling by Rho GTPases","ARHGAP29","Signal Transduction","Signaling by Rho GTPases"
"63","Metabolism of polyamines","ASS1","Metabolism","Metabolism of amino acids and derivatives"
"64","DDX58/IFIH1-mediated induction of interferon-alpha/beta","ATG5","Immune System","Innate Immune System"
"65","Cellular responses to external stimuli","ATG5","Cellular responses to external stimuli","Cellular responses to external stimuli"
"66","Mitophagy","ATG5","Mitophagy","Mitophagy"
"67","Cellular response to heat stress","BAG2","Cellular responses to external stimuli","Cellular responses to stress"
"68","Activation of BH3-only proteins","BBC3","Programmed Cell Death","Apoptosis"
"69","TP53 Regulates Transcription of Cell Death Genes","BBC3","Gene expression (Transcription)","RNA Polymerase II Transcription"
"70","Intrinsic Pathway for Apoptosis","BBC3","Programmed Cell Death","Apoptosis"
"71","Circadian Clock","BHLHE40","Circadian Clock","Circadian Clock"
"72","Intrinsic Pathway for Apoptosis","BID","Programmed Cell Death","Apoptosis"
"73","TP53 Regulates Transcription of Cell Death Genes","BID","Gene expression (Transcription)","RNA Polymerase II Transcription"
"74","Activation of BH3-only proteins","BID","Programmed Cell Death","Apoptosis"
"75","TRIF(TICAM1)-mediated TLR4 signaling","BIRC3","Immune System","Innate Immune System"
"76","Cytokine Signaling in Immune system","BIRC3","Immune System","Cytokine Signaling in Immune system"
"77","Toll Like Receptor 3 (TLR3) Cascade","BIRC3","Immune System","Innate Immune System"
"78","TNF signaling","BIRC3","Signal Transduction","Death Receptor Signalling"
"79","Deubiquitination","BIRC3","Metabolism of proteins","Post-translational protein modification"
"80","Regulated Necrosis","BIRC3","Programmed Cell Death","Regulated Necrosis"
"81","TNFR2 non-canonical NF-kB pathway","BIRC3","Immune System","Cytokine Signaling in Immune system"
"82","RIPK1-mediated regulated necrosis","BIRC3","Programmed Cell Death","Regulated Necrosis"
"83","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","BIRC3","Immune System","Innate Immune System"
"84","M Phase","BIRC5","Cell Cycle","Cell Cycle, Mitotic"
"85","Signaling by Interleukins","BIRC5","Immune System","Cytokine Signaling in Immune system"
"86","TP53 Regulates Transcription of Cell Death Genes","BIRC5","Gene expression (Transcription)","RNA Polymerase II Transcription"
"87","Mitotic Prometaphase","BIRC5","Cell Cycle","Cell Cycle, Mitotic"
"88","Amplification of signal from the kinetochores","BIRC5","Cell Cycle","Cell Cycle Checkpoints"
"89","RHO GTPase Effectors","BIRC5","Signal Transduction","Signaling by Rho GTPases"
"90","Post-translational protein modification","BIRC5","Metabolism of proteins","Post-translational protein modification"
"91","SUMO E3 ligases SUMOylate target proteins","BIRC5","Metabolism of proteins","Post-translational protein modification"
"92","Mitotic Anaphase","BIRC5","Cell Cycle","Cell Cycle, Mitotic"
"93","O2/CO2 exchange in erythrocytes","CA2","Transport of small molecules","O2/CO2 exchange in erythrocytes"
"94","Metabolism","CA2","Metabolism","Metabolism"
"95","Virus Assembly and Release","CALR","Disease","Infectious disease"
"96","Antigen processing-Cross presentation","CALR","Immune System","Adaptive Immune System"
"97","Binding and Uptake of Ligands by Scavenger Receptors","CALR","Vesicle-mediated transport","Binding and Uptake of Ligands by Scavenger Receptors"
"98","Class I MHC mediated antigen processing & presentation","CALR","Immune System","Adaptive Immune System"
"99","ATF6 (ATF6-alpha) activates chaperones","CALR","Metabolism of proteins","Unfolded Protein Response (UPR)"
"100","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","CALR","Metabolism of proteins","Post-translational protein modification"
"101","tRNA Aminoacylation","CARS","Metabolism of proteins","Translation"
"102","RIPK1-mediated regulated necrosis","CASP8","Programmed Cell Death","Regulated Necrosis"
"103","Death Receptor Signalling","CASP8","Signal Transduction","Death Receptor Signalling"
"104","CLEC7A (Dectin-1) signaling","CASP8","Immune System","Innate Immune System"
"105","TNF signaling","CASP8","Signal Transduction","Death Receptor Signalling"
"106","Apoptotic execution  phase","CASP8","Programmed Cell Death","Apoptosis"
"107","Ligand-dependent caspase activation","CASP8","Programmed Cell Death","Apoptosis"
"108","DDX58/IFIH1-mediated induction of interferon-alpha/beta","CASP8","Immune System","Innate Immune System"
"109","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","CASP8","Immune System","Innate Immune System"
"110","TRIF(TICAM1)-mediated TLR4 signaling","CASP8","Immune System","Innate Immune System"
"111","Regulation of necroptotic cell death","CASP8","Programmed Cell Death","Regulated Necrosis"
"112","Toll Like Receptor 3 (TLR3) Cascade","CASP8","Immune System","Innate Immune System"
"113","Intrinsic Pathway for Apoptosis","CASP8","Programmed Cell Death","Apoptosis"
"114","Apoptotic cleavage of cellular proteins","CASP8","Programmed Cell Death","Apoptosis"
"115","Apoptosis","CASP8","Programmed Cell Death","Apoptosis"
"116","Regulated Necrosis","CASP8","Programmed Cell Death","Regulated Necrosis"
"117","Caspase activation via extrinsic apoptotic signalling pathway","CASP8","Programmed Cell Death","Apoptosis"
"118","GPCR downstream signalling","CCL20","Signal Transduction","Signaling by GPCR"
"119","Signaling by Interleukins","CCL20","Immune System","Cytokine Signaling in Immune system"
"120","Peptide ligand-binding receptors","CCL20","Signal Transduction","Signaling by GPCR"
"121","GPCR downstream signalling","CCL4","Signal Transduction","Signaling by GPCR"
"122","Signaling by Interleukins","CCL4","Immune System","Cytokine Signaling in Immune system"
"123","Peptide ligand-binding receptors","CCL5","Signal Transduction","Signaling by GPCR"
"124","GPCR downstream signalling","CCL5","Signal Transduction","Signaling by GPCR"
"125","Signaling by Interleukins","CCL5","Immune System","Cytokine Signaling in Immune system"
"126","Mitotic G2-G2/M phases","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"127","Mitotic G1-G1/S phases","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"128","Regulation of TP53 Activity","CCNA1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"129","Regulation of TP53 Expression and Degradation","CCNA1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"130","Removal of licensing factors from origins","CCNA1","DNA Replication","Regulation of DNA replication"
"131","G2/M Transition","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"132","Cellular Senescence","CCNA1","Cellular responses to external stimuli","Cellular responses to stress"
"133","HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)","CCNA1","DNA Repair","DNA Double-Strand Break Repair"
"134","Deubiquitination","CCNA1","Metabolism of proteins","Post-translational protein modification"
"135","S Phase","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"136","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"137","G1/S-Specific Transcription","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"138","TP53 Regulates Transcription of Cell Cycle Genes","CCNA1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"139","Switching of origins to a post-replicative state","CCNA1","Cell Cycle","Synthesis of DNA"
"140","Cyclin A/B1/B2 associated events during G2/M transition","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"141","p53-Dependent G1/S DNA damage checkpoint","CCNA1","Cell Cycle","Cell Cycle Checkpoints"
"142","Cyclin A:Cdk2-associated events at S phase entry","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"143","Cyclin E associated events during G1/S transition","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"144","APC/C-mediated degradation of cell cycle proteins","CCNA1","Cell Cycle","Cell Cycle, Mitotic"
"145","Switching of origins to a post-replicative state","CCNA2","Cell Cycle","Synthesis of DNA"
"146","Cyclin A:Cdk2-associated events at S phase entry","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"147","Cellular Senescence","CCNA2","Cellular responses to external stimuli","Cellular responses to stress"
"148","Cyclin E associated events during G1/S transition","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"149","TP53 Regulates Transcription of Cell Cycle Genes","CCNA2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"150","Mitotic G2-G2/M phases","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"151","Removal of licensing factors from origins","CCNA2","DNA Replication","Regulation of DNA replication"
"152","p53-Dependent G1/S DNA damage checkpoint","CCNA2","Cell Cycle","Cell Cycle Checkpoints"
"153","S Phase","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"154","G2/M Transition","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"155","APC/C-mediated degradation of cell cycle proteins","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"156","HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)","CCNA2","DNA Repair","DNA Double-Strand Break Repair"
"157","Deubiquitination","CCNA2","Metabolism of proteins","Post-translational protein modification"
"158","Regulation of TP53 Activity","CCNA2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"159","Cyclin A/B1/B2 associated events during G2/M transition","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"160","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"161","Regulation of TP53 Expression and Degradation","CCNA2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"162","Mitotic G1-G1/S phases","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"163","G0 and Early G1","CCNA2","Cell Cycle","Cell Cycle, Mitotic"
"164","Ubiquitin-dependent degradation of Cyclin D","CCND1","Cell Cycle","Cell Cycle, Mitotic"
"165","Signaling by PTK6","CCND1","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"166","Transcriptional regulation by RUNX3","CCND1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"167","Pre-NOTCH Expression and Processing","CCND1","Signal Transduction","Signaling by NOTCH"
"168","G1 Phase","CCND1","Cell Cycle","Cell Cycle, Mitotic"
"169","Generic Transcription Pathway","CCND1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"170","Chromatin modifying enzymes","CCND1","Chromatin organization","Chromatin modifying enzymes"
"171","Transcriptional regulation by RUNX1","CCND1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"172","Cyclin E associated events during G1/S transition","CCND1","Cell Cycle","Cell Cycle, Mitotic"
"173","Signaling by Interleukins","CCND1","Immune System","Cytokine Signaling in Immune system"
"174","Cyclin A:Cdk2-associated events at S phase entry","CCND1","Cell Cycle","Cell Cycle, Mitotic"
"175","G1 Phase","CCND2","Cell Cycle","Cell Cycle, Mitotic"
"176","Transcriptional regulation by RUNX1","CCND2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"177","Cyclin E associated events during G1/S transition","CCNE1","Cell Cycle","Cell Cycle, Mitotic"
"178","G1/S-Specific Transcription","CCNE1","Cell Cycle","Cell Cycle, Mitotic"
"179","G1/S Transition","CCNE1","Cell Cycle","Cell Cycle, Mitotic"
"180","Cellular Senescence","CCNE1","Cellular responses to external stimuli","Cellular responses to stress"
"181","Cyclin A:Cdk2-associated events at S phase entry","CCNE1","Cell Cycle","Cell Cycle, Mitotic"
"182","Signaling by PTK6","CCNE1","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"183","TP53 Regulates Transcription of Cell Cycle Genes","CCNE1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"184","p53-Dependent G1/S DNA damage checkpoint","CCNE1","Cell Cycle","Cell Cycle Checkpoints"
"185","Chaperonin-mediated protein folding","CCNE1","Metabolism of proteins","Protein folding"
"186","Mitotic G1-G1/S phases","CCNE1","Cell Cycle","Cell Cycle, Mitotic"
"187","Defensins","CCR2","Immune System","Innate Immune System"
"188","Signaling by Interleukins","CCR2","Immune System","Cytokine Signaling in Immune system"
"189","GPCR downstream signalling","CCR2","Signal Transduction","Signaling by GPCR"
"190","Peptide ligand-binding receptors","CCR2","Signal Transduction","Signaling by GPCR"
"191","GPCR downstream signalling","CCR7","Signal Transduction","Signaling by GPCR"
"192","Peptide ligand-binding receptors","CCR7","Signal Transduction","Signaling by GPCR"
"193","Innate Immune System","CD44","Immune System","Innate Immune System"
"194","Hyaluronan metabolism","CD44","Metabolism","Metabolism of carbohydrates"
"195","Extracellular matrix organization","CD44","Extracellular matrix organization","Extracellular matrix organization"
"196","Hemostasis","CD44","Hemostasis","Hemostasis"
"197","Interferon Signaling","CD44","Immune System","Cytokine Signaling in Immune system"
"198","Adaptive Immune System","CDH1","Immune System","Adaptive Immune System"
"199","Listeria monocytogenes entry into host cells","CDH1","Disease","Infectious disease"
"200","Extracellular matrix organization","CDH1","Extracellular matrix organization","Extracellular matrix organization"
"201","Cell-cell junction organization","CDH1","Cell-Cell communication","Cell junction organization"
"202","Apoptotic cleavage of cellular proteins","CDH1","Programmed Cell Death","Apoptosis"
"203","RHO GTPase Effectors","CDH1","Signal Transduction","Signaling by Rho GTPases"
"204","Signaling by PTK6","CDK4","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"205","Cyclin A:Cdk2-associated events at S phase entry","CDK4","Cell Cycle","Cell Cycle, Mitotic"
"206","Chromatin modifying enzymes","CDK4","Chromatin organization","Chromatin modifying enzymes"
"207","G1 Phase","CDK4","Cell Cycle","Cell Cycle, Mitotic"
"208","Ubiquitin-dependent degradation of Cyclin D","CDK4","Cell Cycle","Cell Cycle, Mitotic"
"209","Generic Transcription Pathway","CDK4","Gene expression (Transcription)","RNA Polymerase II Transcription"
"210","Cellular Senescence","CDK4","Cellular responses to external stimuli","Cellular responses to stress"
"211","Meiosis","CDK4","Reproduction","Meiosis"
"212","Cyclin E associated events during G1/S transition","CDK4","Cell Cycle","Cell Cycle, Mitotic"
"213","Developmental Biology","CDK4","Developmental Biology","Developmental Biology"
"214","Cyclin A:Cdk2-associated events at S phase entry","CDKN1B","Cell Cycle","Cell Cycle, Mitotic"
"215","Cellular Senescence","CDKN1B","Cellular responses to external stimuli","Cellular responses to stress"
"216","PIP3 activates AKT signaling","CDKN1B","Signal Transduction","Intracellular signaling by second messengers"
"217","G1 Phase","CDKN1B","Cell Cycle","Cell Cycle, Mitotic"
"218","TP53 Regulates Transcription of Cell Cycle Genes","CDKN1B","Gene expression (Transcription)","RNA Polymerase II Transcription"
"219","Removal of licensing factors from origins","CDKN1B","DNA Replication","Regulation of DNA replication"
"220","Cyclin E associated events during G1/S transition","CDKN1B","Cell Cycle","Cell Cycle, Mitotic"
"221","Signaling by PTK6","CDKN1B","Signal Transduction","Signaling by Non-Receptor Tyrosine Kinases"
"222","S Phase","CDKN1B","Cell Cycle","Cell Cycle, Mitotic"
"223","PI3K/AKT Signaling in Cancer","CDKN1B","Disease","Diseases of signal transduction"
"224","RHO GTPase Effectors","CDKN1B","Signal Transduction","Signaling by Rho GTPases"
"225","p53-Dependent G1/S DNA damage checkpoint","CDKN1B","Cell Cycle","Cell Cycle Checkpoints"
"226","Switching of origins to a post-replicative state","CDKN1B","Cell Cycle","Synthesis of DNA"
"227","G1/S Transition","CDKN1B","Cell Cycle","Cell Cycle, Mitotic"
"228","Cellular Senescence","CDKN2A","Cellular responses to external stimuli","Cellular responses to stress"
"229","Transcriptional regulation by RUNX3","CDKN2A","Gene expression (Transcription)","RNA Polymerase II Transcription"
"230","G1 Phase","CDKN2A","Cell Cycle","Cell Cycle, Mitotic"
"231","SUMO E3 ligases SUMOylate target proteins","CDKN2A","Metabolism of proteins","Post-translational protein modification"
"232","p53-Dependent G1 DNA Damage Response","CDKN2A","Cell Cycle","Cell Cycle Checkpoints"
"233","Regulation of TP53 Expression and Degradation","CDKN2A","Gene expression (Transcription)","RNA Polymerase II Transcription"
"234","Developmental Biology","CEBPA","Developmental Biology","Developmental Biology"
"235","Cellular Senescence","CEBPB","Cellular responses to external stimuli","Cellular responses to stress"
"236","Developmental Biology","CEBPB","Developmental Biology","Developmental Biology"
"237","Metabolism of steroid hormones","CGA","Metabolism","Metabolism of lipids"
"238","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","CGA","Gene expression (Transcription)","RNA Polymerase II Transcription"
"239","GPCR downstream signalling","CGA","Signal Transduction","Signaling by GPCR"
"240","Class A/1 (Rhodopsin-like receptors)","CGA","Signal Transduction","Signaling by GPCR"
"241","Peptide hormone biosynthesis","CGA","Metabolism of proteins","Peptide hormone metabolism"
"242","Amine-derived hormones","CGA","Metabolism","Metabolism of amino acids and derivatives"
"243","N-glycan antennae elongation in the medial/trans-Golgi","CGA","Metabolism of proteins","Post-translational protein modification"
"244","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","CITED2","Gene expression (Transcription)","RNA Polymerase II Transcription"
"245","Regulation of Hypoxia-inducible Factor (HIF) by oxygen","CITED2","Cellular responses to external stimuli","Cellular responses to stress"
"246","Cell-cell junction organization","CLDN4","Cell-Cell communication","Cell junction organization"
"247","Dopamine clearance from the synaptic cleft","COMT","Neuronal System","Transmission across Chemical Synapses"
"248","Phase II - Conjugation of compounds","COMT","Metabolism","Biological oxidations"
"249","Peptide hormone metabolism","CPE","Metabolism of proteins","Peptide hormone metabolism"
"250","Signaling by Nuclear Receptors","CRABP2","Signal Transduction","Signaling by Nuclear Receptors"
"251","Post NMDA receptor activation events","CREB1","Neuronal System","Transmission across Chemical Synapses"
"252","MAPK targets/ Nuclear events mediated by MAP kinases","CREB1","Immune System","Innate Immune System"
"253","Nuclear Events (kinase and transcription factor activation)","CREB1","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"254","Axon guidance","CREB1","Developmental Biology","Axon guidance"
"255","Mitochondrial biogenesis","CREB1","Organelle biogenesis and maintenance","Mitochondrial biogenesis"
"256","PIP3 activates AKT signaling","CREB1","Signal Transduction","Intracellular signaling by second messengers"
"257","Calmodulin induced events","CREB1","Signal Transduction","Intracellular signaling by second messengers"
"258","PI3K/AKT Signaling in Cancer","CREB1","Disease","Diseases of signal transduction"
"259","Circadian Clock","CREB1","Circadian Clock","Circadian Clock"
"260","G alpha (q) signalling events","CREB1","Signal Transduction","Signaling by GPCR"
"261","Signaling by NOTCH2","CREB1","Signal Transduction","Signaling by NOTCH"
"262","Hemostasis","CREBBP","Hemostasis","Hemostasis"
"263","Regulation of cholesterol biosynthesis by SREBP (SREBF)","CREBBP","Metabolism","Metabolism of lipids"
"264","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","CREBBP","Gene expression (Transcription)","RNA Polymerase II Transcription"
"265","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)","CREBBP","Metabolism","Metabolism of lipids"
"266","Metabolism of lipids","CREBBP","Metabolism","Metabolism of lipids"
"267","Signaling by NOTCH1 PEST Domain Mutants in Cancer","CREBBP","Disease","Diseases of signal transduction"
"268","Transcriptional regulation by RUNX3","CREBBP","Gene expression (Transcription)","RNA Polymerase II Transcription"
"269","Developmental Biology","CREBBP","Developmental Biology","Developmental Biology"
"270","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer","CREBBP","Disease","Diseases of signal transduction"
"271","Signaling by NOTCH1","CREBBP","Signal Transduction","Signaling by NOTCH"
"272","DDX58/IFIH1-mediated induction of interferon-alpha/beta","CREBBP","Immune System","Innate Immune System"
"273","Transcriptional regulation by RUNX1","CREBBP","Gene expression (Transcription)","RNA Polymerase II Transcription"
"274","Pre-NOTCH Expression and Processing","CREBBP","Signal Transduction","Signaling by NOTCH"
"275","Signaling by NOTCH3","CREBBP","Signal Transduction","Signaling by NOTCH"
"276","Activation of HOX genes during differentiation","CREBBP","Developmental Biology","Activation of HOX genes during differentiation"
"277","Circadian Clock","CREBBP","Circadian Clock","Circadian Clock"
"278","Cytosolic sensors of pathogen-associated DNA","CREBBP","Immune System","Innate Immune System"
"279","C-type lectin receptors (CLRs)","CREBBP","Immune System","Innate Immune System"
"280","Chromatin modifying enzymes","CREBBP","Chromatin organization","Chromatin modifying enzymes"
"281","TCF dependent signaling in response to WNT","CREBBP","Signal Transduction","Signaling by WNT"
"282","Generic Transcription Pathway","CREBBP","Gene expression (Transcription)","RNA Polymerase II Transcription"
"283","Mitochondrial biogenesis","CREBBP","Organelle biogenesis and maintenance","Mitochondrial biogenesis"
"284","Regulation of Hypoxia-inducible Factor (HIF) by oxygen","CREBBP","Cellular responses to external stimuli","Cellular responses to stress"
"285","HSF1-dependent transactivation","CREBBP","Cellular responses to external stimuli","Cellular responses to stress"
"286","TP53 Regulates Transcription of Cell Death Genes","CREBBP","Gene expression (Transcription)","RNA Polymerase II Transcription"
"287","Myogenesis","CTNNB1","Developmental Biology","Myogenesis"
"288","Degradation of beta-catenin by the destruction complex","CTNNB1","Signal Transduction","Signaling by WNT"
"289","Transcriptional regulation by RUNX3","CTNNB1","Gene expression (Transcription)","RNA Polymerase II Transcription"
"290","Cytosolic sensors of pathogen-associated DNA","CTNNB1","Immune System","Innate Immune System"
"291","TCF dependent signaling in response to WNT","CTNNB1","Signal Transduction","Signaling by WNT"
"292","Signaling by WNT","CTNNB1","Signal Transduction","Signaling by WNT"
"293","Listeria monocytogenes entry into host cells","CTNNB1","Disease","Infectious disease"
"294","phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex","CTNNB1","Disease","Diseases of signal transduction"
"295","Signaling by WNT in cancer","CTNNB1","Disease","Diseases of signal transduction"
"296","Formation of the beta-catenin:TCF transactivating complex","CTNNB1","Signal Transduction","Signaling by WNT"
"297","Beta-catenin independent WNT signaling","CTNNB1","Signal Transduction","Signaling by WNT"
"298","RHO GTPase Effectors","CTNNB1","Signal Transduction","Signaling by Rho GTPases"
"299","Peptide hormone metabolism","CTSD","Metabolism of proteins","Peptide hormone metabolism"
"300","Adaptive Immune System","CTSD","Immune System","Adaptive Immune System"
"301","Innate Immune System","CTSD","Immune System","Innate Immune System"
"302","Degradation of the extracellular matrix","CTSD","Extracellular matrix organization","Degradation of the extracellular matrix"
"303","Signaling by Interleukins","CXCL1","Immune System","Cytokine Signaling in Immune system"
"304","Innate Immune System","CXCL1","Immune System","Innate Immune System"
"305","Peptide ligand-binding receptors","CXCL1","Signal Transduction","Signaling by GPCR"
"306","GPCR downstream signalling","CXCL1","Signal Transduction","Signaling by GPCR"
"307","Signaling by ERBB4","CXCL12","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"308","GPCR downstream signalling","CXCL12","Signal Transduction","Signaling by GPCR"
