Compound name,Cas number,Mechanism of action,Reference,
Cisplatin,15663-27-1,"Cisplatin forms irreversible covalent links with DNA, causing cross linking of DNA chains as well as breaks in the DNA chain and missense mutations.� The DNA injury triggers programmed cell death (apoptosis) and inhibits RNA and protein synthesis, particularly in rapidly dividing cells.��(crosslinking agent). Interacts directly with DNA.",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Colchicine,64-86-8,aneugen,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Cyclophosphamide,50-18-0,Requires metabolic activation (CYP2B6),https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Cytosine arabinoside,147-94-4,nucleoside analogue,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Dimethylnitrosamine,62-75-9,Alkylating agent after activation by CYP2E1(which is not highly expressed in rat liver S9) produces O6- and N7-methyl guanine adducts,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Etoposide,33419-42-0,"Interacts indirectly with DNA. Topoisomerase II inhibitor thus inhibiting DNA synthesis, and is most 
active against cells in the late S- and G2
-phases 
of the cell cycle.",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Hydroquinone,123-31-9,"Likely multiple MoA, including possible aneuploidy",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
"2-amino-3methylimidazo[4,5-f]quinoline",76180-96-6,"Heterocyclic amine with potent genotoxicity, requires metabolic activation",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Mitomycin C,50-07-7,"Induces DNA�DNA crosslinks, but also has akylating activity and induces oxidative damage",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
MMS,66-27-3,Interacts directly with DNA,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
P-Chloroaniline free base ,106-47-8,No adducts,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
p-Chloroaniline-salt,20265-96-7,No adducts,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
"PhIP.HCl (2-amino-1-methyl-6- phenylimidazo [4,5-b]pyridine",105650-23-5,"Heterocyclic amine with potent genotoxicity, requires metabolic activation",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Sodium arsenite,7784-46-5,Inorganic carcinogen MoA: oxidant? repair inhibitor?,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Taxol,33069-62-4,aneugen,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Vinblastine sulfate,143-67-9,aneugen,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Potassium bromate,2139594,"Strong oxidative agent, leading to DNA damage",https://www.sciencedirect.com/science/article/pii/S1383574208000483?via%3Dihub,
Streptozotocin,18883-66-4,"inhibits DNA synthesis, interfere with biochemical reactions of NAD and NADH, and inhibit some enzymes involved in gluconeogenesis.",https://www.sciencedirect.com/science/article/pii/S1383574208000483?via%3Dihub,
"1,3-Butadiene",106-99-0,,https://www.sciencedirect.com/science/article/pii/S1383574208000483?via%3Dihub,
Vinyl chloride,75-01-4,,https://www.sciencedirect.com/science/article/pii/S1383574208000483?via%3Dihub,
Sodium dichromate,10588-01-9,,https://www.sciencedirect.com/science/article/pii/S1383574208000483?via%3Dihub,
Isobutyl nitrite,542-56-3,,https://www.sciencedirect.com/science/article/pii/S1383574208000483?via%3Dihub,
DOXORUBICIN,23214-92-8,"The apparent mechanism involves the formation of a stable complex with DNA, interfering with the synthesis of nucleic acids. Doxorubicin also possesses immunosuppressant properties. Doxorubicin is an inhibitor of Topo II.",,
ACETAMIDOFLUORENE,53-96-3,"A genotoxic carcinogen that is used to model liver carcinogenesis in rat. When N-hydroxylated by cytochrome CYP1A2 in the liver, 2-AAF forms adducts with DNA and is tumorigenic in liver and bladder","erna, L., et al., 2-Acetylaminofluorene mechanistic data and risk assessment: DNA reactivity, enhanced cell proliferation and tumor initiation. Pharmacol. Ther. 71, 83-105, (1996) Klohn, P.C., et al., Early resistance to cell death and to onset of the mitochondrial permeability transition during hepatocarcinogenesis with 2-acetylaminofluorene. Proc. Natl. Acad. Sci. U. S. A. 100, 10014-10019, (2003) Waddell, W.J., Thresholds of carcinogenicity in the ED01 study. Toxicol. Sci. 72, 158-163, (2003) Umemura, T., et al., Dose response effects of 2-acetylaminofluorene on DNA damage, cytotoxicity, cell proliferation and neoplastic conversion in rat liver. Cancer Lett. 73, 1-10, (1993) Jeong, K.S., et al., Effects of cyclocreatine in rat hepatocarcinogenesis model. Anticancer Res. 20, 1627-1633, (2000)",
HEXACHLOROBENZENE,118-74-1,"Weak genotox carcinogen, micronuleus formation",https://watermark.silverchair.com/12-1-35.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAakwggGlBgkqhkiG9w0BBwagggGWMIIBkgIBADCCAYsGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMNpguUHWdl6MihkRGAgEQgIIBXAr9e7KmWl0MaK4onDDJFOEdxC64VF7ZDeC7VsnIYp-OOJSuHI9MmUGdmgAAjACgs7CoXzzKK7Li9tMHoDfmbLxCNg7_OfRp1eGJG-21PtwBEqnLFtF0oKARFK-JBjeAkEGNi9UNk-VLciw3z5cbrVGtow2-DjYCYgiVe6I032CfOviIGzpwrUGOR-JEY4Jt251i5MzftKh38v2JZodODv1E3Ovuk2X08WTdDVuAEKDT5VrrZ7dAqAxzGsOlheVmWLtZuHiIcptenYD0zn7D1walUY7YdlPbycUWLFTMxb4CpxoHGMYHLtE1Q8Y5SK1N5EyT8_OINrVmnuzWF779Vt0jpfuejpeKbXx2gQncyHXdvbEX8bxrjUt289UpoI-YjEowHUfs2hMBATnwm-LOdAyLuwPfFuUcS4F8EI0_QEf_i6ciJwMiXKHrhvaslJvDPfnnlZvkMc7fgGz-fw,
3-METHYLCHOLANTHRENE,56-49-5,,,
